L 223, -378, -129, 223, -378, -12, 64, 64, 64
L 223, -378, -12, 200, -368, -23, 64, 64, 64
L 200, -368, -23, 185, -362, -26, 64, 64, 64
L 185, -362, -26, 177, -358, -27, 64, 64, 64
L 177, -358, -27, 150, -347, -27, 64, 64, 64
L 150, -347, -27, 124, -335, -24, 64, 64, 64
L 124, -335, -24, 106, -318, -35, 64, 64, 64
L 106, -318, -35, 89, -301, -45, 64, 64, 64
L 89, -301, -45, 80, -292, -49, 64, 64, 64
L 80, -292, -49, 65, -276, -54, 64, 64, 64
L 65, -276, -54, 45, -257, -50, 64, 64, 64
L 45, -257, -50, 12, -219, -42, 64, 64, 64
L 12, -219, -42, 9, -211, -46, 64, 64, 64
L 9, -211, -46, 5, -195, -51, 64, 64, 64
L 5, -195, -51, 3, -191, -52, 64, 64, 64
L 3, -191, -52, -3, -166, -46, 64, 64, 64
L -3, -166, -46, -12, -139, -37, 64, 64, 64
L -12, -139, -37, -20, -111, -32, 64, 64, 64
L -20, -111, -32, -28, -86, -27, 64, 64, 64
L -28, -86, -27, -36, -61, -26, 64, 64, 64
L -36, -61, -26, -44, -36, -32, 64, 64, 64
L -44, -36, -32, -57, -11, -36, 64, 64, 64
L -57, -11, -36, -70, 14, -44, 64, 64, 64
L -70, 14, -44, -83, 39, -50, 64, 64, 64
L -83, 39, -50, -104, 79, -62, 64, 64, 64
L -104, 79, -62, -109, 90, -64, 64, 64, 64
L -109, 90, -64, -136, 121, -51, 64, 64, 64
L -136, 121, -51, -170, 132, -36, 64, 64, 64
L -170, 132, -36, -193, 126, -29, 64, 64, 64
L -193, 126, -29, -218, 93, -24, 64, 64, 64
L -218, 93, -24, -218, 88, -24, 64, 64, 64
L -218, 88, -24, -237, 72, -31, 64, 64, 64
L -237, 72, -31, -242, 39, -35, 64, 64, 64
L -242, 39, -35, -237, 13, -36, 64, 64, 64
L -237, 13, -36, -231, -19, -46, 64, 64, 64
L -231, -19, -46, -224, -78, -82, 64, 64, 64
L -224, -78, -82, -222, -106, -93, 64, 64, 64
L -222, -106, -93, -219, -135, -86, 64, 64, 64
L -219, -135, -86, -217, -165, -76, 64, 64, 64
L -217, -165, -76, -218, -229, -56, 64, 64, 64
L -218, -229, -56, -236, -262, -67, 64, 64, 64
L -236, -262, -67, -256, -298, -56, 64, 64, 64
L -256, -298, -56, -277, -309, -70, 64, 64, 64
L -277, -309, -70, -300, -321, -84, 64, 64, 64
L -300, -321, -84, -347, -345, -115, 64, 64, 64
L -347, -345, -115, -372, -358, -111, 64, 64, 64
L -372, -358, -111, -427, -373, -98, 64, 64, 64
L -427, -373, -98, -456, -373, -98, 64, 64, 64
L -456, -373, -98, -485, -373, -102, 64, 64, 64
L -485, -373, -102, -531, -368, -105, 64, 64, 64
L -531, -368, -105, -571, -354, -119, 64, 64, 64
L -571, -354, -119, -596, -345, -119, 64, 64, 64
L -596, -345, -119, -624, -335, -116, 64, 64, 64
L -624, -335, -116, -653, -309, -125, 64, 64, 64
L -653, -309, -125, -673, -284, -122, 64, 64, 64
L -673, -284, -122, -702, -249, -109, 64, 64, 64
L -702, -249, -109, -723, -208, -118, 64, 64, 64
L -723, -208, -118, -736, -172, -120, 64, 64, 64
L -736, -172, -120, -745, -143, -120, 64, 64, 64
L -745, -143, -120, -761, -85, -117, 64, 64, 64
L -761, -85, -117, -775, -30, -103, 64, 64, 64
L -775, -30, -103, -781, -8, -101, 64, 64, 64
L -781, -8, -101, -786, 11, -102, 64, 64, 64
L -786, 11, -102, -812, 57, -104, 64, 64, 64
L -812, 57, -104, -827, 82, -112, 64, 64, 64
L -827, 82, -112, -839, 100, -115, 64, 64, 64
L -839, 100, -115, -920, 120, -139, 64, 64, 64
L -920, 120, -139, -918, 100, -142, 64, 64, 64
L -918, 100, -142, -921, 74, -158, 64, 64, 64
L -921, 74, -158, -923, 49, -184, 64, 64, 64
L -923, 49, -184, -911, 5, -194, 64, 64, 64
L -911, 5, -194, -895, -37, -187, 64, 64, 64
L -895, -37, -187, -889, -53, -180, 64, 64, 64
L -889, -53, -180, -883, -76, -173, 64, 64, 64
L -883, -76, -173, -879, -99, -168, 64, 64, 64
L -879, -99, -168, -873, -135, -168, 64, 64, 64
L -873, -135, -168, -874, -152, -174, 64, 64, 64
L -874, -152, -174, -878, -178, -185, 64, 64, 64
L -878, -178, -185, -882, -204, -190, 64, 64, 64
L -882, -204, -190, -891, -237, -192, 64, 64, 64
L -891, -237, -192, -899, -249, -200, 64, 64, 64
L -899, -249, -200, -929, -292, -214, 64, 64, 64
L -929, -292, -214, -944, -313, -209, 64, 64, 64
L -944, -313, -209, -962, -337, -189, 64, 64, 64
L -962, -337, -189, -985, -346, -200, 64, 64, 64
L -985, -346, -200, -1012, -349, -225, 64, 64, 64
L -1012, -349, -225, -1041, -351, -238, 64, 64, 64
L -1041, -351, -238, -1081, -354, -232, 64, 64, 64
L -1081, -354, -232, -1103, -352, -231, 64, 64, 64
L -1103, -352, -231, -1121, -351, -231, 64, 64, 64
L -1121, -351, -231, -1174, -347, -235, 64, 64, 64
L -1174, -347, -235, -1203, -338, -232, 64, 64, 64
L -1203, -338, -232, -1223, -323, -231, 64, 64, 64
L -1223, -323, -231, -1247, -305, -222, 64, 64, 64
L -1247, -305, -222, -1275, -275, -223, 64, 64, 64
L -1275, -275, -223, -1285, -262, -219, 64, 64, 64
L -1285, -262, -219, -1299, -230, -224, 64, 64, 64
L -1299, -230, -224, -1307, -192, -230, 64, 64, 64
L -1307, -192, -230, -1313, -167, -231, 64, 64, 64
L -1313, -167, -231, -1319, -143, -228, 64, 64, 64
L -1319, -143, -228, -1330, -94, -209, 64, 64, 64
L -1330, -94, -209, -1362, -72, -189, 64, 64, 64
L -1362, -72, -189, -1387, -72, -190, 64, 64, 64
L -1387, -72, -190, -1404, -89, -191, 64, 64, 64
L -1404, -89, -191, -1416, -105, -195, 64, 64, 64
L -1416, -105, -195, -1429, -123, -207, 64, 64, 64
L -1429, -123, -207, -1444, -145, -218, 64, 64, 64
L -1444, -145, -218, -1457, -164, -224, 64, 64, 64
L -1457, -164, -224, -1488, -209, -227, 64, 64, 64
L -1488, -209, -227, -1504, -230, -226, 64, 64, 64
L -1504, -230, -226, -1522, -248, -229, 64, 64, 64
L -1522, -248, -229, -1539, -264, -229, 64, 64, 64
L -1539, -264, -229, -1559, -276, -237, 64, 64, 64
L -1559, -276, -237, -1579, -286, -246, 64, 64, 64
L -1579, -286, -246, -1605, -294, -255, 64, 64, 64
L -1605, -294, -255, -1625, -293, -266, 64, 64, 64
L -1625, -293, -266, -1639, -79, -336, 64, 64, 64
L -1639, -79, -336, -1642, -68, -336, 64, 64, 64
L -1642, -68, -336, -1671, -68, -339, 64, 64, 64
L -1671, -68, -339, -1682, -71, -339, 64, 64, 64
L -1682, -71, -339, -1683, -66, -339, 64, 64, 64
L -1683, -66, -339, -1683, -79, -339, 64, 64, 64
L -1683, -79, -339, -1674, -79, -339, 64, 64, 64
L -1674, -79, -339, -1674, -87, -339, 64, 64, 64
L -1674, -87, -339, -1832, -87, -339, 64, 64, 64
L -1832, -87, -339, -1832, -78, -339, 64, 64, 64
L -1832, -78, -339, -1845, -80, -339, 64, 64, 64
L -1845, -80, -339, -1845, -90, -339, 64, 64, 64
L -1845, -90, -339, -1843, -91, -339, 64, 64, 64
L -1843, -91, -339, -1843, -119, -339, 64, 64, 64
L -1922, -119, -3393, -1922, -119, -339, 255, 0, 0
L -1922, -119, -339, -1843, -119, -339, 255, 0, 0
L -1922, -119, -3393, -1922, -119, -339, 64, 64, 64
L -1922, -119, -339, -1922, -91, -339, 64, 64, 64
L -1922, -91, -339, -1920, -90, -339, 64, 64, 64
L -1920, -90, -339, -1920, -78, -339, 64, 64, 64
L -1920, -78, -339, -1933, -78, -339, 64, 64, 64
L -1933, -78, -339, -1933, -87, -339, 64, 64, 64
L -1933, -87, -339, -1941, -87, -339, 64, 64, 64
L -1941, -87, -339, -1941, 28, -339, 64, 64, 64
L -1941, 28, -339, -1674, 28, -339, 64, 64, 64
L -1674, 28, -339, -1674, 20, -339, 64, 64, 64
L -1674, 20, -339, -1684, 20, -339, 64, 64, 64
L -1684, 20, -339, -1683, 7, -339, 64, 64, 64
L -1683, 7, -339, -1671, 8, -339, 64, 64, 64
L -1671, 8, -339, -1671, 9, -339, 64, 64, 64
L -1671, 9, -339, -1642, 9, -333, 64, 64, 64
L -1642, 9, -333, -1642, 7, -334, 64, 64, 64
L -1642, 7, -334, -1630, 8, -329, 64, 64, 64
L -1630, 8, -329, -1630, 20, -325, 64, 64, 64
L -1630, 20, -325, -1639, 20, -328, 64, 64, 64
L -1639, 20, -328, -1639, 325, -257, 64, 64, 64
